lead_id,lead_name,created_at,region,industry,channel,campaign_id,rep_id,lead_stage,estimated_value
1,Padilla Inc,2024-10-01,East,Technology,Organic Search,1,11,New,13311
2,Cooper PLC,2024-08-05,South,Education,Webinar,2,12,Proposal,24064
3,"Willis, Holmes and Roman",2025-04-14,South,Retail,Organic Search,10,6,New,11081
4,Mathews and Sons,2025-07-28,South,Manufacturing,Paid Search,5,12,Qualified,22155
5,"Macdonald, Clay and Vincent",2025-03-14,East,Education,Webinar,2,9,Won,14861
6,"Cooper, Myers and Arellano",2024-08-12,North,Retail,LinkedIn Ads,6,7,Lost,19696
7,Wilson PLC,2025-05-20,South,Healthcare,LinkedIn Ads,7,2,New,6592
8,Parker Ltd,2024-06-05,South,Manufacturing,Organic Search,1,6,Proposal,16833
9,Miller and Sons,2025-09-02,East,Education,Webinar,2,11,New,22526
10,"Kirk, Williams and Johnson",2025-04-24,North,Technology,Referral,3,4,Qualified,3376
11,Waller Group,2025-11-27,South,Manufacturing,Webinar,8,12,Proposal,20595
12,"Terrell, Kerr and Shannon",2024-09-30,West,Finance,LinkedIn Ads,7,8,Won,6655
13,"Shea, Lopez and Garrett",2024-10-27,North,Education,LinkedIn Ads,6,5,Qualified,3106
14,"Munoz, Parker and Graham",2024-09-26,East,Retail,LinkedIn Ads,7,11,Lost,19635
15,Beck-Watkins,2024-04-18,West,Finance,LinkedIn Ads,7,8,Won,23937
16,Conner Group,2025-06-03,North,Retail,Webinar,2,1,Proposal,15252
17,Pittman and Sons,2024-06-14,East,Technology,Referral,3,11,Qualified,3018
18,"Hart, Waller and Ingram",2025-09-05,South,Healthcare,Webinar,2,10,Qualified,6665
19,Reese Inc,2025-01-06,South,Finance,Organic Search,1,6,Won,10846
20,Glover PLC,2024-02-29,West,Technology,Paid Search,4,8,New,5580
21,"Curry, Rosales and Hunter",2024-03-28,South,Healthcare,Paid Search,5,6,Proposal,20455
22,Murray-Smith,2024-05-08,North,Education,Webinar,2,5,New,21015
23,Lester PLC,2024-06-18,North,Technology,Webinar,9,1,New,16865
