order_id,customer_id,order_date,product_name,gross_amount,discount_pct,net_revenue
1,349,2025-11-18,Basic Plan,841,0,841.0
2,286,2025-07-27,Pro Plan,2965,5,2816.75
3,645,2025-12-25,Enterprise Plan,9506,5,9030.7
4,643,2024-06-17,Basic Plan,793,0,793.0
5,65,2025-12-29,Pro Plan,2652,10,2386.8
6,669,2024-10-17,Enterprise Plan,12174,0,12174.0
7,823,2024-07-02,Basic Plan,584,15,496.4
8,798,2025-04-28,Basic Plan,1053,5,1000.35
9,800,2025-10-02,Basic Plan,1456,15,1237.6
10,745,2025-03-14,Basic Plan,552,0,552.0
11,650,2025-07-21,Basic Plan,533,0,533.0
12,9,2025-04-01,Pro Plan,4780,15,4063.0
13,320,2025-08-19,Pro Plan,4728,10,4255.2
14,736,2025-12-10,Basic Plan,669,0,669.0
15,668,2025-12-20,Basic Plan,539,10,485.1
16,281,2024-05-23,Basic Plan,1129,0,1129.0
17,808,2025-10-28,Basic Plan,1418,5,1347.1
18,521,2025-12-30,Pro Plan,4430,0,4430.0
19,658,2025-12-31,Enterprise Plan,7174,10,6456.6
20,746,2024-12-20,Basic Plan,566,5,537.7
21,39,2025-08-24,Pro Plan,2644,15,2247.4
22,258,2025-02-15,Enterprise Plan,7574,5,7195.3
23,503,2025-12-28,Enterprise Plan,10648,0,10648.0
24,597,2024-05-12,Pro Plan,4723,0,4723.0
25,220,2024-11-16,Pro Plan,3853,0,3853.0
26,753,2025-01-30,Pro Plan,3202,15,2721.7
27,116,2025-08-24,Pro Plan,3712,0,3712.0
28,325,2025-08-04,Enterprise Plan,11351,0,11351.0
29,222,2025-05-14,Pro Plan,2609,15,2217.65
30,127,2024-08-04,Basic Plan,581,0,581.0
31,541,2024-10-06,Basic Plan,651,0,651.0
32,628,2025-06-15,Basic Plan,652,15,554.2
33,819,2024-06-20,Pro Plan,3362,15,2857.7
34,507,2025-06-21,Enterprise Plan,9919,15,8431.15
35,860,2024-08-20,Pro Plan,3678,0,3678.0
36,229,2024-10-21,Enterprise Plan,10956,15,9312.6
37,798,2025-06-18,Pro Plan,4687,0,4687.0
38,167,2024-11-02,Basic Plan,900,0,900.0
39,670,2024-09-01,Basic Plan,550,0,550.0
40,765,2025-12-25,Basic Plan,1332,5,1265.4
41,455,2024-10-19,Enterprise Plan,12512,15,10635.2
42,762,2025-09-10,Pro Plan,2544,0,2544.0
43,507,2025-07-18,Enterprise Plan,11157,10,10041.3
44,283,2025-12-29,Basic Plan,1390,0,1390.0
45,572,2024-04-06,Pro Plan,2381,5,2261.95
46,57,2025-01-17,Basic Plan,543,0,543.0
47,391,2025-12-23,Enterprise Plan,14115,0,14115.0
48,378,2025-11-04,Enterprise Plan,8957,5,8509.15
49,214,2024-02-20,Basic Plan,1146,0,1146.0
50,288,2024-05-24,Enterprise Plan,12111,0,12111.0
51,839,2025-02-25,Basic Plan,994,10,894.6
52,271,2025-08-30,Basic Plan,651,0,651.0
53,820,2025-06-11,Enterprise Plan,14273,0,14273.0
54,830,2025-12-08,Pro Plan,4165,10,3748.5
55,260,2025-12-22,Basic Plan,945,15,803.25
56,350,2025-12-02,Pro Plan,4945,10,4450.5
57,706,2025-08-12,Pro Plan,4206,5,3995.7
58,487,2024-03-07,Pro Plan,3362,0,3362.0
59,182,2025-07-11,Enterprise Plan,7028,5,6676.6
60,688,2024-09-12,Pro Plan,4493,10,4043.7
61,422,2025-04-26,Pro Plan,4420,0,4420.0
